,,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
01/05/2019,"350,681",159.6,"220,000","220,750","2,172,537",127.1,"1,709,000","1,704,500",1.5,1.2,"143,051,794"
01/12/2019,"343,678",159.2,"216,000","220,750","2,090,268",122.9,"1,701,000","1,706,250",1.5,1.2,"143,051,794"
01/19/2019,"269,369",128.6,"209,000","218,250","2,124,743",122.0,"1,742,000","1,709,750",1.5,1.2,"143,051,794"
01/26/2019,"250,580",106.1,"236,000","220,250","2,098,575",122.4,"1,715,000","1,716,750",1.5,1.2,"143,051,794"
02/02/2019,"254,263",110.6,"230,000","222,750","2,142,462",124.5,"1,721,000","1,719,750",1.5,1.2,"143,051,794"
02/09/2019,"242,762",106.3,"228,000","225,750","2,084,361",121.5,"1,716,000","1,723,500",1.5,1.2,"143,051,794"
02/16/2019,"210,679",96.7,"218,000","228,000","2,125,992",122.1,"1,741,000","1,723,250",1.5,1.2,"143,051,794"
02/23/2019,"203,049",90.8,"224,000","225,000","2,112,404",121.5,"1,739,000","1,729,250",1.5,1.2,"143,051,794"
03/02/2019,"220,540",100.2,"220,000","222,500","2,088,410",120.7,"1,730,000","1,731,500",1.5,1.2,"143,051,794"
03/09/2019,"209,302",93.4,"224,000","221,500","2,008,348",115.8,"1,734,000","1,736,000",1.4,1.2,"143,051,794"
03/16/2019,"194,335",88.9,"219,000","221,750","2,009,317",116.0,"1,732,000","1,733,750",1.4,1.2,"143,051,794"
03/23/2019,"190,023",88.5,"215,000","219,500","1,908,355",111.0,"1,719,000","1,728,750",1.3,1.2,"143,051,794"
03/30/2019,"183,775",87.3,"211,000","217,250","1,861,690",109.2,"1,705,000","1,722,500",1.3,1.2,"143,051,794"
04/06/2019,"196,071",96.5,"203,000","212,000","1,730,108",103.8,"1,667,000","1,705,750",1.2,1.2,"143,629,179"
04/13/2019,"196,364",96.6,"203,000","208,000","1,703,576",102.7,"1,659,000","1,687,500",1.2,1.2,"143,629,179"
04/20/2019,"211,762",93.8,"226,000","210,750","1,647,874",98.0,"1,682,000","1,678,250",1.1,1.2,"143,629,179"
04/27/2019,"204,755",88.9,"230,000","215,500","1,633,529",97.0,"1,684,000","1,673,000",1.1,1.2,"143,629,179"
05/04/2019,"204,033",90.8,"225,000","221,000","1,539,086",91.7,"1,678,000","1,675,750",1.1,1.2,"143,629,179"
05/11/2019,"188,264",86.9,"217,000","224,500","1,543,472",91.7,"1,683,000","1,681,750",1.1,1.2,"143,629,179"
